target_id,fc,lrt_qval,wt_qval,Direction
Zc3h7a,0.7673806546237051,3.1638016950042326e-7,2.4059273216955212e-4,Down
Sra1,1.1256019419670997,3.1638016950042326e-7,2.2973385196659814e-6,Up
Elmo2,1.3916342083304951,3.1638016950042326e-7,3.1748379232172326e-9,Up
Ppp1ca,1.4111680598154293,3.2730340152266076e-7,9.521199758713191e-8,Up
Ushbp1,0.3478388353541685,3.3009356626950453e-7,1.971078851840207e-15,Down
Eps15,1.1037413780697094,3.3009356626950453e-7,1.1960026410119596e-10,Up
Apoe,0.5954929266709779,3.3009356626950453e-7,1.9827655325995363e-7,Down
Zfp395,0.5589841191017937,3.318005170698462e-7,2.1421871735305096e-11,Down
Calu,1.4865337105379322,3.318005170698462e-7,1.947670196098493e-9,Up
Timp4,2.3071663350329055,3.334934816081835e-7,3.841134002932907e-10,Up
Slco3a1,2.0877995256643174,3.4656023052562893e-7,2.7893237067904414e-10,Up
Dag1,1.3838626862541712,3.4668889895554323e-7,6.700405782342348e-8,Up
Tpr,1.1800479550803036,3.4668889895554323e-7,1.5585492315385664e-6,Up
Hnrnph3,0.6936638232436835,3.4668889895554323e-7,2.384861573794127e-7,Down
Hdlbp,1.4277527950517594,3.4839092176037546e-7,1.475524244818272e-10,Up
Sh2d4b,4.641458454827076,3.4839092176037546e-7,2.1952468827350956e-11,Up
Fbxl5,1.381487687344764,3.700670804667862e-7,8.143085711932699e-9,Up
Ppp2r5b,2.017604212206144,3.7122293526708443e-7,9.583649817878246e-10,Up
Vcam1,0.550721530949418,3.795429520361369e-7,1.3116363551189168e-9,Down
Lppr3,0.3239502945336564,3.8018691549808295e-7,8.643522743455382e-9,Down
Gbe1,2.1941370347292493,3.9373703650018225e-07,1.8167678215330365e-9,Up
Fn1,2.3748128692586286,3.9383604254614e-7,2.7376207885043146e-7,Up
Adamts2,1.7337726810173146,3.952110670762471e-7,3.187490602310561e-10,Up
Ampd3,1.6561888780604042,3.983099303932967e-7,2.0170134892650106e-9,Up
Ciz1,0.9839080148346014,4.024900182491475e-7,2.525380078668219e-6,Down
Anapc4,1.092506630532533,4.6121831412388346e-7,3.4409772687027704e-6,Up
Tpst1,0.5952622418467519,4.6337368496570705e-7,1.6914785075597083e-7,Down
Abhd5,1.7303967630971617,4.6553805126258963e-7,8.830297775294642e-9,Up
Pcdh7,1.5467546799195964,4.890368672369919e-7,1.935866977164257e-9,Up
Ankle2,0.98943229854542,4.893206878934706e-7,7.58189098996637e-10,Down
Mtdh,1.2176147400279747,5.356015378427627e-7,1.0044612699951102e-5,Up
Atp6v1h,1.437155312004196,5.498544343187115e-7,1.0599035771935766e-8,Up
Larp1b,1.4553972039417242,5.607722876299377e-7,2.0975030267816514e-7,Up
Col5a3,2.2534796543269415,5.607722876299377e-7,1.4555160922775762e-9,Up
Prg4,4.300145469953316,5.618695351354048e-7,6.245808422338887e-9,Up
Cisd3,1.9081463766240268,5.950167376404334e-7,2.9132673776559715e-8,Up
Ap1g1,1.118035081809768,6.262679606224936e-7,5.278366488007285e-6,Up
Pabpn1,0.71946005042538,6.390303437693446e-7,3.743805215766895e-6,Down
Blcap,0.6104610727711038,6.390303437693446e-7,1.783378582696962e-8,Down
Trf,0.7646790103365725,6.489141558260318e-7,6.64477753891064e-8,Down
F3,0.4852382052809338,6.526311895347287e-7,6.244661549012439e-8,Down
Srebf1,0.9185894836073814,6.530643393796728e-7,1.2840543445000701e-6,Down
Fbxw8,1.5166335263170043,6.550532950178686e-7,2.067035284296582e-8,Up
Rfwd2,1.182877799849484,6.550532950178686e-7,6.928131644503342e-5,Up
Tmem167,1.5615617139789109,6.570596245780908e-7,8.486627272874445e-9,Up
Mum1,0.6799479738334588,6.653984576614116e-7,8.756886851350032e-7,Down
Hspb1,2.1660095753961506,6.874539718732555e-7,2.459839035316639e-12,Up
Tlcd2,2.219441111886111,6.946039959601645e-7,7.865523947970814e-8,Up
Degs1,1.552671783012434,7.099505828363491e-7,1.2534149172244671e-9,Up
Azin2,0.46297867349630717,7.315883009061252e-7,4.858591852418645e-7,Down
Ggcx,1.4540639763815846,7.588547975853823e-7,3.7896574164858834e-7,Up
Ccdc47,1.2717819519980014,7.778364238565442e-7,2.466365181925494e-6,Up
Adamtsl2,5.063618481070887,7.844930946451373e-7,9.41706515677177e-10,Up
Acadm,1.4806791032041835,7.921072217564817e-7,4.9118296870298265e-6,Up
Ciita,0.2836969855564088,8.077042870472115e-7,1.466212775475909e-13,Down
Vapb,1.2766329712749473,8.191362058606771e-7,1.7864416780885366e-8,Up
Fmo2,1.6275939951840122,8.294160013175444e-7,7.344595011661951e-8,Up
Phb,1.267982811000684,8.294160013175444e-7,6.60054455893246e-8,Up
Adam12,3.063049831260517,8.50185538764813e-7,7.803282979594839e-9,Up
Zfp148,1.0164097509038341,8.544959530276443e-7,4.7055487255829745e-7,Up
Apobr,1.9283756908518013,8.582046138732577e-7,3.4505597629995735e-8,Up
Serpina3n,3.4673406992068787,8.672622962177032e-7,2.0570567360675147e-13,Up
Irf1,0.5303145556841101,8.965683459459816e-7,8.650598667158334e-9,Down
Mlx,1.5113519051807724,9.208083406952181e-7,1.4164932464795406e-7,Up
Agfg2,1.6079471604434648,9.208083406952181e-7,2.337580883147684e-7,Up
Gbp4,0.23038251334513046,9.490576991223138e-7,1.1829579782863275e-12,Down
Echdc2,0.6801004804946903,9.583239505613286e-7,1.4592100478289e-7,Down
Adcyap1r1,3.7626050100521233,9.901001836674808e-7,1.6380409400643477e-8,Up
Nr1d1,0.5704540880769176,1.0005720241814935e-6,7.70061939292549e-9,Down
Ubap2l,1.193721196459814,1.0028685182440657e-6,1.1216187989141791e-5,Up
Atp1a2,1.1962816701228265,1.0189664382055373e-6,1.0206811122856403e-9,Up
Cxcl9,0.2094213210197352,1.0472141827341308e-6,4.4861751850704926e-13,Down
Gfm1,1.4545168923574596,1.04942932147406e-6,7.828740494741767e-8,Up
Hnrnpl,0.9142503640645466,1.0851439240656223e-6,0.0047750136259583345,Down
Sort1,1.2431809497025081,1.1033263505464635e-6,3.3637529312299623e-9,Up
Acad9,1.320243412161901,1.1104581052316306e-6,1.469545332324514e-5,Up
Copa,1.152284949359039,1.170096156502791e-6,4.044808785600688e-6,Up
Echdc1,1.573179669253328,1.1829117171779813e-6,6.64477753891064e-8,Up
Vim,1.8402762149508523,1.1829537963460895e-6,3.144589402848047e-7,Up
Anapc5,1.0513821266681675,1.1840487024346516e-6,8.978211414271384e-4,Up
Mcoln1,0.9825250680702262,1.1871818414746626e-6,2.5564687537821816e-6,Down
Srrm2,0.8475354158310215,1.2095677445324992e-6,6.464729998207294e-6,Down
Nsdhl,3.0156434532852794,1.2095677445324992e-6,8.827545518189181e-13,Up
Ahcyl2,2.399621823334918,1.2418679353920985e-6,1.3210239702623924e-8,Up
Pkm,1.6122966222000723,1.3114179095421012e-6,2.211362268128074e-8,Up
Trrap,0.8998762499629384,1.333256236935837e-6,1.4501062786581683e-7,Down
Lrrk2,1.626386593775786,1.3510373142513478e-6,2.7629593270738487e-8,Up
Vamp1,0.6808176733942836,1.4025730824246815e-6,1.0418817123611692e-6,Down
Grrp1,0.3943635619530673,1.428135456396668e-6,4.1407646484049564e-11,Down
Uap1,0.918698722050242,1.4409594025502163e-6,1.456537725523388e-7,Down
Shank3,0.4871613078476393,1.4477508347099537e-6,3.9740669431024675e-10,Down
Fam49a,1.9789295534712434,1.521748954723354e-6,9.620552141109968e-9,Up
Hspb7,9.086846843194834,1.521748954723354e-6,2.1657414683341372e-12,Up
Cdc42ep4,1.5408781220825165,1.5376464376114495e-6,1.9281597837873762e-8,Up
Dera,1.6729557921186964,1.5493205676177669e-6,5.3194885463505634e-8,Up
Dpep1,2.174083483100711,1.550482921709223e-6,2.324377004175088e-12,Up
Ptcd3,1.238649462404446,1.5933753248387328e-6,3.874197716959315e-6,Up
Tcaf1,1.4613808661750756,1.6518326516694196e-6,1.080110963987596e-6,Up
Safb,0.8394974632128688,1.6518326516694196e-6,8.567793648670568e-4,Down
Cirbp,0.613475972281287,1.6837248169801218e-6,7.1194160485553e-7,Down
Col6a2,1.959301143082732,1.740648132800746e-6,1.0214154652447697e-7,Up
Ide,1.501666787767649,1.7682992438312764e-6,2.0382660092141768e-7,Up
Irgm1,0.5928092755519525,1.7790403012231733e-6,4.363546122635397e-8,Down
Thrap3,0.9459166455481883,1.7946840523255776e-6,3.982244037750781e-4,Down
Tap2,0.5782785763832252,1.8350114549845943e-6,2.1063196662918794e-10,Down
Npr2,0.6673496468833404,1.8610842190128149e-6,4.3171804436385374e-8,Down
Cables2,0.6615199204201657,1.8610842190128149e-6,1.7417153812973733e-6,Down
Cdk9,0.7110159760312394,1.8753624352452392e-6,1.3770726505548324e-5,Down
Sec31a,1.2097395017308046,1.8980972999609385e-6,3.6250617906793174e-6,Up
Supt6,1.160301795526318,1.9081678128418113e-6,2.7509270662982973e-8,Up
Mprip,1.1138281012030247,2.002139708678242e-6,2.4698297148561775e-5,Up
Leo1,1.9258057027642892,2.0415271688934857e-6,4.868335587905642e-11,Up
Fibin,2.7224821962380794,2.175068793033219e-6,8.514309295105026e-12,Up
Cux1,1.2948704680320182,2.175068793033219e-6,4.35892810986209e-6,Up
Tatdn2,1.3970651386113706,2.1791849887107555e-6,2.049099238874404e-6,Up
Ciart,0.31280067402855904,2.208321506399521e-6,1.6734307500455706e-7,Down
Gstt3,0.5131162436406783,2.2237069493832804e-6,1.9596486680864977e-7,Down
R3hdm1,1.1077631944901387,2.22486691309422e-6,2.614903242905187e-5,Up
Hmces,0.6257600151796938,2.2280888812720434e-6,2.2019318084608378e-7,Down
Ogt,0.7335724849716977,2.2452968736624e-6,1.0310805218807448e-5,Down
Hipk2,1.8393677131710504,2.2694451534672903e-6,8.29923126056308e-8,Up
Rps6ka3,1.250471412450315,2.2811579078967476e-6,5.0733322346381926e-8,Up
Pmp22,1.26025624558344,2.327397858648343e-6,1.9708553284354623e-8,Up
Zcrb1,0.9928633704404575,2.377033489908467e-6,3.2200707572904795e-4,Down
Oplah,0.6153037520542177,2.456264605283885e-6,1.5211457862859621e-7,Down
Dbp,0.1937044735062065,2.493403573847798e-6,1.5401836144981855e-11,Down
Il17rc,1.453661078302879,2.541724494293347e-6,1.2801683501781476e-6,Up
Ggnbp2,0.9441610808556865,2.541724494293347e-6,8.680976593601114e-5,Down
Heatr5b,1.8169240994242921,2.566563271100291e-6,1.7434427354087148e-11,Up
