target_id,ens_gene,ext_gene,external_transcript_name,fc,b,lrt_qval,wt_qval,Direction
ENSMUST00000108853.7,ENSMUSG00000000263,Glra1,Glra1-001,2.3294651337384082,0.8958111421448061,0.005714110449375316,0.005331913160789751,Up
ENSMUST00000111802.3,ENSMUSG00000029616,Erp29,Erp29-004,1.315410912137338,0.2912777619575724,0.005714307629924099,0.00939783350187068,Up
ENSMUST00000107187.8,ENSMUSG00000038712,Fam63a,Fam63a-002,1.2974159794088849,0.2668723724692992,0.005733434695529886,0.012194535361364873,Up
ENSMUST00000036450.7,ENSMUSG00000033396,Spg11,Spg11-001,1.3055626775796358,0.2778807664626377,0.005741561724208041,0.006308224149004384,Up
ENSMUST00000139809.1,ENSMUSG00000044350,Lacc1,Lacc1-002,1.9665310172085315,0.6292211794431952,0.005778029277441433,0.004318594185415592,Up
ENSMUST00000031383.13,ENSMUSG00000029430,Ran,Ran-001,1.376835750097714,0.2993896883907117,0.005780167139411374,0.003714005318083914,Up
ENSMUST00000029684.14,ENSMUSG00000028049,Scamp3,Scamp3-001,1.584178145237879,0.42896035388423503,0.005785894723122518,0.0020250801289783465,Up
ENSMUST00000015501.10,ENSMUSG00000015357,Clpx,Clpx-001,1.3398319949413304,0.3009946808635365,0.0058320344161632235,0.004574151739861418,Up
ENSMUST00000023357.13,ENSMUSG00000022677,Fopnl,Fopnl-001,1.3708714829072068,0.3195754020842026,0.005848727244239316,0.004439554244759393,Up
ENSMUST00000102843.9,ENSMUSG00000020458,Rtn4,Rtn4-005,4.198545947103087,4.0883752782642295,0.005849313500603314,0.002069871955704698,Up
ENSMUST00000169659.7,ENSMUSG00000026409,Pfkfb2,Pfkfb2-002,1.5561621564104742,0.46141914922633515,0.005849313500603314,0.006599354907531641,Up
ENSMUST00000135789.7,ENSMUSG00000071866,Ppia,Ppia-004,1.2875688167065202,0.27826868870890925,0.005849313500603314,0.00500098105595233,Up
ENSMUST00000094559.8,ENSMUSG00000057315,Arhgap24,Arhgap24-001,2.0940767287100903,0.8206138110473501,0.005898910726063573,0.0020975478548275295,Up
ENSMUST00000010434.7,ENSMUSG00000010290,AI597479,AI597479-001,1.2981391841622567,0.26745841696919803,0.005926172842000936,0.010912073414342357,Up
ENSMUST00000101642.9,ENSMUSG00000020451,Limk2,Limk2-003,1.6584462773456996,0.5132877555517009,0.005928128126167976,0.0021191314719966985,Up
ENSMUST00000029490.14,ENSMUSG00000027893,Ahcyl1,Ahcyl1-001,1.3406158729060071,0.2994773047373359,0.005944038644253905,0.003997940252402424,Up
ENSMUST00000023112.11,ENSMUSG00000022474,Pmm1,Pmm1-001,1.7051845836960056,0.538644577991706,0.00595177118978687,0.0021374782546701564,Up
ENSMUST00000028199.11,ENSMUSG00000026848,Tor1b,Tor1b-001,1.568451147631713,0.4624348319850188,0.00595177118978687,0.0021374782546701564,Up
ENSMUST00000094361.10,ENSMUSG00000021270,Hsp90aa1,Hsp90aa1-001,1.4065488167439042,0.36027392307220363,0.005953124726776298,0.0021424464933196773,Up
ENSMUST00000065353.12,ENSMUSG00000053110,Yap1,Yap1-001,1.3777844291921837,0.3329611003579518,0.005957931230869642,0.004902212849089313,Up
ENSMUST00000151289.7,ENSMUSG00000040451,Sgms1,Sgms1-004,2.046356679568544,0.8043447560210834,0.006011781573644117,0.0021744403871278217,Up
ENSMUST00000173801.7,ENSMUSG00000032423,Syncrip,Syncrip-002,1.4794356532424067,0.3955754782146375,0.00601647541688352,0.0025501523146835197,Up
ENSMUST00000094154.5,ENSMUSG00000070436,Serpinh1,Serpinh1-201,2.24840367784588,0.7011904213984522,0.006017775186286863,0.0021810159000420996,Up
ENSMUST00000076431.12,ENSMUSG00000026926,Pmpca,Pmpca-001,1.2891205128145409,0.25471585975563926,0.006018291755115861,0.012468940273505202,Up
ENSMUST00000027071.6,ENSMUSG00000025937,Lactb2,Lactb2-001,1.654328841671693,0.4409798497602809,0.0060398328159338805,0.0021961109889643456,Up
ENSMUST00000058265.7,ENSMUSG00000048970,C1galt1c1,C1galt1c1-001,1.3192019151131549,0.2733923038087967,0.0060398328159338805,0.013491597298293195,Up
ENSMUST00000079817.7,ENSMUSG00000063410,Stk24,Stk24-201,1.3480039096634648,0.32539867140631357,0.0060398328159338805,0.0021959018467369376,Up
ENSMUST00000025305.15,ENSMUSG00000024436,Mrps18b,Mrps18b-001,1.3397518673227076,0.27518210329973886,0.006040847233933198,0.009212433743434069,Up
ENSMUST00000076941.11,ENSMUSG00000033222,Ttf2,Ttf2-001,1.3732165615701868,0.3166065097885098,0.006040847233933198,0.01168620561753582,Up
ENSMUST00000059226.6,ENSMUSG00000054203,Ifi205,Ifi205-001,1.7794418482429635,0.5368569072442697,0.006045387739386715,0.0022043987018768385,Up
ENSMUST00000056617.13,ENSMUSG00000044017,Adgrd1,Adgrd1-001,2.039643726813048,0.7527789987937352,0.006045387739386715,0.0022064428113738868,Up
ENSMUST00000020824.14,ENSMUSG00000020516,Rps6kb1,Rps6kb1-004,1.4772329690482888,0.4005957408055856,0.006099149085599872,0.0058315796420203144,Up
ENSMUST00000197021.1,ENSMUSG00000055204,Ankrd17,Ankrd17-005,1.5225614209388405,0.4977985617250334,0.006101799062703868,0.005003835362486443,Up
ENSMUST00000034079.13,ENSMUSG00000031657,Heatr3,Heatr3-001,1.8561197452839928,0.6893611213503568,0.006126417876325637,0.0022565374172947815,Up
ENSMUST00000046498.2,ENSMUSG00000042357,Gjb5,Gjb5-001,2.5924468843404562,0.9276170766481332,0.00613986970371933,0.002263931146913787,Up
ENSMUST00000020307.10,ENSMUSG00000020107,Anapc16,Anapc16-002,1.3112190551426706,0.28312702195115147,0.006142567751904146,0.007372726573086637,Up
ENSMUST00000145167.7,ENSMUSG00000075703,Ept1,Ept1-001,1.3165590809837273,0.2727659603742449,0.006173071032556338,0.00940793483268435,Up
ENSMUST00000106957.7,ENSMUSG00000061086,Myl4,Myl4-003,2.010183501070787,0.7969772804400701,0.006175382062984856,0.0022905806811921274,Up
ENSMUST00000050544.7,ENSMUSG00000022367,Has2,Has2-001,2.73705876632452,0.992703047063714,0.006180309342765143,0.002294229478307712,Up
ENSMUST00000151189.1,ENSMUSG00000033184,Tmed7,Tmed7-001,1.5439115820758786,0.44610205485742666,0.006180309342765143,0.002294353980523968,Up
ENSMUST00000034965.7,ENSMUSG00000032398,Snapc5,Snapc5-201,1.339032852459507,0.29247765120965,0.006184182639153351,0.004863482192995462,Up
ENSMUST00000152420.7,ENSMUSG00000074063,Osgin1,Osgin1-002,2.0103573421662566,0.7312587632148901,0.0061881389136203184,0.00585016318171629,Up
ENSMUST00000002403.9,ENSMUSG00000002332,Dhrs1,Dhrs1-001,1.3322372200745187,0.3003838570961314,0.0061956765933746,0.0027834049619470257,Up
ENSMUST00000030263.8,ENSMUSG00000028538,St3gal3,St3gal3-001,1.5892269442815945,0.4607631260034278,0.006199402893492835,0.0023115098118431333,Up
ENSMUST00000189793.6,ENSMUSG00000026249,Serpine2,Serpine2-004,7.600326714556644,3.2184725254414475,0.006204486174960799,0.0023149205546887856,Up
ENSMUST00000055242.10,ENSMUSG00000002981,Clptm1,Clptm1-201,1.3351906542687098,0.28225048528386537,0.006241523497795808,0.011387525961040618,Up
ENSMUST00000110851.7,ENSMUSG00000053581,Zfand2a,Zfand2a-002,1.5273961449451354,0.4251999960536167,0.006269396956941251,0.003734106199442726,Up
ENSMUST00000044385.13,ENSMUSG00000042743,Sgtb,Sgtb-001,1.5718346445271056,0.4510802687969663,0.006271862717515534,0.006371109913687642,Up
ENSMUST00000038863.8,ENSMUSG00000035202,Lars2,Lars2-201,1.60120295432591,0.49481580664950703,0.006271862717515534,0.002356786477429561,Up
ENSMUST00000134864.1,ENSMUSG00000036585,Fgf1,Fgf1-006,3.165238721412823,1.2161161686225994,0.006271862717515534,0.004963787908291852,Up
ENSMUST00000122328.7,ENSMUSG00000020674,Pxdn,Pxdn-001,2.1124718286275814,0.7008912769357485,0.006283868978283882,0.002369083459318632,Up
ENSMUST00000097830.3,ENSMUSG00000041161,Otud3,Otud3-001,1.467360071446143,0.38666232863073074,0.006333047078119117,0.0060912697279169705,Up
ENSMUST00000105235.9,ENSMUSG00000025369,Smarcc2,Smarcc2-203,1.515526748686983,0.4171870891790236,0.006342986761865912,0.0024021868043390005,Up
ENSMUST00000038794.5,ENSMUSG00000001229,Dpp9,Dpp9-201,1.3321587176724705,0.28186293909275767,0.006352835031042906,0.00632931157755073,Up
ENSMUST00000024906.4,ENSMUSG00000024098,Twsg1,Twsg1-201,1.2998010401385138,0.26111582291833013,0.006359789328813763,0.009473139129752334,Up
ENSMUST00000022614.6,ENSMUSG00000022035,Ccdc25,Ccdc25-201,1.3164442100759226,0.2611631886911674,0.006368741483866498,0.011085478391682183,Up
ENSMUST00000062904.10,ENSMUSG00000039768,Dnajc11,Dnajc11-001,1.293383954820105,0.25849224054606357,0.006369616902531021,0.013385463927973988,Up
ENSMUST00000177638.1,ENSMUSG00000095061,E030018B13Rik,E030018B13Rik-001,2.8008536292426727,1.1646315569876264,0.006374621377408994,0.0026930740559052645,Up
ENSMUST00000084519.6,ENSMUSG00000042055,Wdr11,Wdr11-001,1.3482802688834892,0.2989009298792898,0.0063929575388747654,0.0045238605529548176,Up
ENSMUST00000203327.1,ENSMUSG00000027961,Lrrc39,Lrrc39-002,1.9266244631217668,0.646319234379547,0.0064699501568235614,0.002491573957747109,Up
ENSMUST00000035657.8,ENSMUSG00000036613,Tssc1,Tssc1-201,1.5127514883037627,0.42571925130631827,0.006472239468137693,0.003792807951087275,Up
ENSMUST00000101087.9,ENSMUSG00000036323,Srp72,Srp72-001,1.2950487667331767,0.26117006189156794,0.006517460023732896,0.010114734684619176,Up
ENSMUST00000155551.7,ENSMUSG00000035572,Dcaf10,Dcaf10-001,1.3626093839975373,0.3040947986589172,0.006517460023732896,0.002527830213248839,Up
ENSMUST00000026289.9,ENSMUSG00000025260,Hsd17b10,Hsd17b10-001,1.3122220324097138,0.2946341374411922,0.006524372405671554,0.0026912551822180822,Up
ENSMUST00000010520.9,ENSMUSG00000010376,Nedd8,Nedd8-201,1.4149046851778828,0.3303517031888456,0.006537703566660339,0.002542390248782126,Up
ENSMUST00000033044.15,ENSMUSG00000030780,BC017158,BC017158-001,1.3502452916005114,0.2904899349266837,0.006555791917906642,0.009800081526227314,Up
ENSMUST00000102929.1,ENSMUSG00000035517,Tdrd7,Tdrd7-002,1.5288361749742805,0.45185786189071103,0.0066086943637726474,0.0028055997269857387,Up
ENSMUST00000048183.7,ENSMUSG00000041559,Fmod,Fmod-001,1.7581354077672084,0.6875741024798985,0.006615149563264913,0.002592022418950907,Up
ENSMUST00000026126.9,ENSMUSG00000025133,Ints4,Ints4-001,1.2998062613268122,0.2555714508766245,0.0066554400557129675,0.014333105660788364,Up
ENSMUST00000062125.10,ENSMUSG00000048429,1810026J23Rik,1810026J23Rik-001,1.2857812253917913,0.24879560848658525,0.006675462706409549,0.014497512038579618,Up
ENSMUST00000025077.6,ENSMUSG00000024234,Mtpap,Mtpap-201,1.3405040607973093,0.2914049456306238,0.006684246919599259,0.003324355075969869,Up
ENSMUST00000138030.1,ENSMUSG00000028455,Stoml2,Stoml2-004,1.7488181689785445,0.5457681210780667,0.0067099511869702895,0.007009936121505643,Up
ENSMUST00000023365.12,ENSMUSG00000022684,Bfar,Bfar-001,1.356753209148905,0.3120624245841525,0.0067183583763032444,0.0026629343751093356,Up
ENSMUST00000021548.11,ENSMUSG00000021123,Rdh12,Rdh12-001,4.125068729696827,2.1883743620712752,0.006735630274471669,0.002674463768749311,Up
