target_id,ens_gene,ext_gene,external_transcript_name,fc,lrt_qval,Direction
ENSMUST00000088652.5,ENSMUSG00000067873,Htatsf1,Htatsf1-001,0.8823062135305707,0.01742033602116802,Down
ENSMUST00000041366.13,ENSMUSG00000039771,Polr2j,Polr2j-001,0.8059488743097626,0.01743640897456669,Down
ENSMUST00000120938.1,ENSMUSG00000083380,Gm3244,Gm3244-001,0.8256153893555362,0.01743640897456669,Down
ENSMUST00000073868.8,ENSMUSG00000061315,Naca,Naca-201,0.8331424787730487,0.017443212008945812,Down
ENSMUST00000093166.10,ENSMUSG00000020340,Cyfip2,Cyfip2-001,0.4527846133022405,0.017445976746749806,Down
ENSMUST00000136970.7,ENSMUSG00000027936,Crtc2,Crtc2-002,0.6653992649561007,0.01746474173431305,Down
ENSMUST00000114389.9,ENSMUSG00000031388,Naa10,Naa10-002,0.7046987614144505,0.01748343411112361,Down
ENSMUST00000067230.5,ENSMUSG00000076431,Sox4,Sox4-001,0.6390068533569198,0.01748343411112361,Down
ENSMUST00000100330.9,ENSMUSG00000053580,Tanc2,Tanc2-001,0.7700524093679262,0.01751110748526356,Down
ENSMUST00000065103.3,ENSMUSG00000052962,Mrpl35,Mrpl35-001,0.8189427639977666,0.017512047048049033,Down
