target_id,ens_gene,ext_gene,external_transcript_name,fc,b,lrt_qval,wt_qval,Direction
ENSMUST00000045097.10,ENSMUSG00000040253,Gbp7,Gbp7-001,0.5973381556927359,-0.5363571453181251,0.01785346690399969,0.013385463927973988,Down
ENSMUST00000144995.7,ENSMUSG00000028949,Smarcd3,Smarcd3-002,0.4796527827225274,-0.8354200961184337,0.0178588834724266,0.013391756296172404,Down
ENSMUST00000036691.13,ENSMUSG00000039262,Prrc2b,Prrc2b-001,0.7935754675713068,-0.2440100460801605,0.017902911315852737,0.023693423151539165,Down
ENSMUST00000196919.1,ENSMUSG00000055204,Ankrd17,Ankrd17-007,0.6901731206459379,-0.35642712182963493,0.017981530899229,0.013528167305545088,Down
ENSMUST00000191790.5,ENSMUSG00000061518,Cox5b,Cox5b-005,0.6474089468785517,-0.4454947996056817,0.018106309262965713,0.03233740970969062,Down
ENSMUST00000112550.7,ENSMUSG00000026987,Baz2b,Baz2b-001,0.7411061177656768,-0.29521950090331467,0.018128253647827726,0.02262983627789475,Down
ENSMUST00000156212.7,ENSMUSG00000009995,Taz,Taz-003,0.656090233682378,-0.4573907213436351,0.01816233134025319,0.013749851991535176,Down
ENSMUST00000156341.1,ENSMUSG00000026632,Tatdn3,Tatdn3-009,0.6930106534853339,-0.3742750825391327,0.018168793674513847,0.019938845014809862,Down
ENSMUST00000138512.7,ENSMUSG00000030603,Psmc4,Psmc4-003,0.6305271382064174,-0.44912378552468196,0.01827066421288431,0.013855329806995463,Down
ENSMUST00000195403.1,ENSMUSG00000040265,Dnm3,Dnm3-010,0.5181079798597467,-0.6167994858731225,0.01827237387396471,0.020593193031333938,Down
ENSMUST00000132574.7,ENSMUSG00000026927,Sdccag3,Sdccag3-007,0.7724246082479744,-0.2691816765196335,0.018316778014414437,0.030981499765204586,Down
ENSMUST00000150031.1,ENSMUSG00000028826,Tmem57,Tmem57-005,0.6472256865808731,-0.45353778160381,0.0183803194623408,0.018648902818671268,Down
ENSMUST00000137664.1,ENSMUSG00000079487,Med12,Med12-009,0.3521647139273133,-1.557213611173131,0.0183866563127835,0.013979218891966967,Down
ENSMUST00000043843.11,ENSMUSG00000038366,Lasp1,Lasp1-001,0.7642815442753487,-0.28793266650783017,0.018396871165593263,0.013994206045822197,Down
ENSMUST00000191897.1,ENSMUSG00000019039,Dalrd3,Dalrd3-002,0.6865047470830243,-0.38659728369301677,0.018429865227267146,0.014030194419425627,Down
ENSMUST00000134844.1,ENSMUSG00000028582,Cc2d1b,Cc2d1b-002,0.32860832627227504,-3.0254100070796555,0.018439435877297555,0.014036355724643531,Down
ENSMUST00000151068.7,ENSMUSG00000026277,Stk25,Stk25-002,0.8155173657903421,-0.19626305868636626,0.018457050616200815,0.07570098477091229,Down
ENSMUST00000101197.8,ENSMUSG00000030047,Arhgap25,Arhgap25-003,0.4694010994991132,-0.7137781339393147,0.018460778813930625,0.01406423798822696,Down
ENSMUST00000150125.1,ENSMUSG00000022577,Ly6h,Ly6h-004,0.32281778476166956,-1.0820394334478343,0.018466864441127984,0.0222761787995933,Down
ENSMUST00000191860.1,ENSMUSG00000102644,Thap6,Thap6-001,0.7565238267309126,-0.2614805001840905,0.018466864441127984,0.04039440487443952,Down
ENSMUST00000079063.6,ENSMUSG00000063632,Sox11,Sox11-001,0.5342475986255381,-0.6371577806518424,0.01862624777866992,0.021853013040944183,Down
ENSMUST00000059037.14,ENSMUSG00000057143,Trim12c,Trim12c-001,0.7891303013068687,-0.22068351470126518,0.018646151514567683,0.055911774634896216,Down
ENSMUST00000049642.4,ENSMUSG00000045316,Fahd1,Fahd1-201,0.7581692385278682,-0.27185219136581246,0.018670093911639925,0.024297478872461645,Down
ENSMUST00000096184.4,ENSMUSG00000096775,Gm5796,Gm5796-001,0.3703896739478118,-1.619182017897171,0.018721675213829624,0.019227884140705108,Down
ENSMUST00000130411.6,ENSMUSG00000016921,Srsf6,Srsf6-001,0.7983641452790446,-0.23806981797143417,0.018772945807787704,0.02491778405803799,Down
ENSMUST00000022040.13,ENSMUSG00000021557,Agtpbp1,Agtpbp1-001,0.7463529176588506,-0.2833523102659126,0.0187987522659541,0.014454708257572065,Down
ENSMUST00000014476.5,ENSMUSG00000089727,Klra8,Klra8-001,0.3349763922657663,-1.2847636799529945,0.018807381919121676,0.017286350326864746,Down
ENSMUST00000159330.7,ENSMUSG00000031878,Nae1,Nae1-009,0.20923040637100343,-2.5772619636236316,0.018807381919121676,0.014473141977577713,Down
ENSMUST00000171411.7,ENSMUSG00000028431,Ikbkap,Ikbkap-006,0.7082483746091568,-0.3513466942450732,0.018909251209246174,0.04688761863622467,Down
ENSMUST00000142624.1,ENSMUSG00000035967,Ddx26b,Ddx26b-006,0.4699720866752892,-0.9165847720976887,0.01891986728006129,0.014588633048636362,Down
ENSMUST00000154403.7,ENSMUSG00000039176,Polg,Polg-004,0.6105446961138729,-0.4730941698838885,0.018944175818847955,0.014625642094374593,Down
ENSMUST00000044509.6,ENSMUSG00000041096,Tspyl2,Tspyl2-001,0.7971897023904664,-0.22672308287354942,0.01894653762412273,0.047521104167815915,Down
ENSMUST00000133538.1,ENSMUSG00000019897,Ccdc59,Ccdc59-002,0.7667364426403317,-0.2607042085826435,0.01894653762412273,0.029705194075837466,Down
ENSMUST00000155071.8,ENSMUSG00000052146,Rps10,Rps10-006,0.5495963431168568,-0.5737297897318723,0.01894653762412273,0.020412834419025444,Down
ENSMUST00000151452.7,ENSMUSG00000026991,Pkp4,Pkp4-013,0.6415342887137213,-0.41588585679887785,0.018994096834126416,0.014691406160233685,Down
ENSMUST00000111474.7,ENSMUSG00000029394,Cdk2ap1,Cdk2ap1-003,0.6826937766017003,-0.3751719153424656,0.018994647820545,0.04733221312988367,Down
ENSMUST00000022680.8,ENSMUSG00000022089,Bin3,Bin3-201,0.791629935362633,-0.22656545819792662,0.019030252281365,0.07235635716013718,Down
ENSMUST00000002101.11,ENSMUSG00000002033,Cd3g,Cd3g-001,0.33553069808536795,-1.0564048944565194,0.019082099456047583,0.021466668468916438,Down
ENSMUST00000008528.7,ENSMUSG00000008384,Sertad1,Sertad1-001,0.7342946423208108,-0.27686503559055997,0.019082144790551724,0.024897849293140727,Down
ENSMUST00000036854.3,ENSMUSG00000040659,Efhd2,Efhd2-001,0.7280422578978307,-0.29941955462468467,0.019175194417862106,0.014952961507805092,Down
ENSMUST00000014647.7,ENSMUSG00000014503,Pkd2l2,Pkd2l2-201,0.5941395723464259,-0.4891790615958022,0.019241139948649167,0.015021348539283021,Down
ENSMUST00000109488.7,ENSMUSG00000044349,Snhg11,Snhg11-001,0.6707761138824139,-0.4027412289018628,0.01928714686284961,0.015091253281446832,Down
ENSMUST00000030460.14,ENSMUSG00000034042,Gpbp1l1,Gpbp1l1-001,0.8160161607975999,-0.19980744597232608,0.01928714686284961,0.06948388794141974,Down
ENSMUST00000148491.1,ENSMUSG00000061479,Snrpa,Snrpa-005,0.3573358790198138,-1.7540695258171217,0.01928714686284961,0.01509354813687119,Down
ENSMUST00000140097.1,ENSMUSG00000029752,Asns,Asns-007,0.2412870721293484,-1.8336432551129087,0.019287897180064514,0.02197067080974433,Down
ENSMUST00000125646.1,ENSMUSG00000031446,Cul4a,Cul4a-006,0.5785584586009416,-0.56365091128483,0.0193158257411335,0.0151376808813903,Down
ENSMUST00000112316.8,ENSMUSG00000038344,Txlng,Txlng-002,0.28772166498207974,-2.7219697423095353,0.019373161983725268,0.015195271772048956,Down
ENSMUST00000122977.1,ENSMUSG00000036620,Mgat4b,Mgat4b-004,0.4231449949372722,-0.8161347664492408,0.019385083631407098,0.021790984732320846,Down
ENSMUST00000178015.7,ENSMUSG00000020594,Pum2,Pum2-202,0.8143355716346447,-0.22347113314400568,0.019404248019875545,0.04791339839201032,Down
ENSMUST00000145132.7,ENSMUSG00000033257,Ttll4,Ttll4-010,0.8118646799713012,-0.22042826255822617,0.01945931761056177,0.07062237895776328,Down
ENSMUST00000144777.7,ENSMUSG00000027953,Slc50a1,Slc50a1-005,0.6687868889926215,-0.4071601378282828,0.019466083440958976,0.02558654235745285,Down
ENSMUST00000162965.1,ENSMUSG00000038039,Gcc2,Gcc2-003,0.6758595109802126,-0.41726361914726406,0.019539125009295284,0.01695987485526233,Down
